code,name,name_fr,category
CA-AB,Alberta,Alberta,province
CA-BC,British Columbia,Colombie-Britannique,province
CA-MB,Manitoba,Manitoba,province
CA-NB,New Brunswick,Nouveau-Brunswick,province
CA-NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,province
CA-NS,Nova Scotia,Nouvelle-Écosse,province
CA-ON,Ontario,Ontario,province
CA-PE,Prince Edward Island,Île-du-Prince-Édouard,province
CA-QC,Quebec,Québec,province
CA-SK,Saskatchewan,Saskatchewan,province
CA-NT,Northwest Territories,Territoires du Nord-Ouest,territory
CA-NU,Nunavut,Nunavut,territory
CA-YT,Yukon,Yukon,territory
