code,name,name_ja,category
JP-01,Hokkaido,北海道,prefecture
JP-02,Aomori,青森県,prefecture
JP-03,Iwate,岩手県,prefecture
JP-04,Miyagi,宮城県,prefecture
JP-05,Akita,秋田県,prefecture
JP-06,Yamagata,山形県,prefecture
JP-07,Fukushima,福島県,prefecture
JP-08,Ibaraki,茨城県,prefecture
JP-09,Tochigi,栃木県,prefecture
JP-10,Gunma,群馬県,prefecture
JP-11,Saitama,埼玉県,prefecture
JP-12,Chiba,千葉県,prefecture
JP-13,Tokyo,東京都,prefecture
JP-14,Kanagawa,神奈川県,prefecture
JP-15,Niigata,新潟県,prefecture
JP-16,Toyama,富山県,prefecture
JP-17,Ishikawa,石川県,prefecture
JP-18,Fukui,福井県,prefecture
JP-19,Yamanashi,山梨県,prefecture
JP-20,Nagano,長野県,prefecture
JP-21,Gifu,岐阜県,prefecture
JP-22,Shizuoka,静岡県,prefecture
JP-23,Aichi,愛知県,prefecture
JP-24,Mie,三重県,prefecture
JP-25,Shiga,滋賀県,prefecture
JP-26,Kyoto,京都府,prefecture
JP-27,Osaka,大阪府,prefecture
JP-28,Hyogo,兵庫県,prefecture
JP-29,Nara,奈良県,prefecture
JP-30,Wakayama,和歌山県,prefecture
JP-31,Tottori,鳥取県,prefecture
JP-32,Shimane,島根県,prefecture
JP-33,Okayama,岡山県,prefecture
JP-34,Hiroshima,広島県,prefecture
JP-35,Yamaguchi,山口県,prefecture
JP-36,Tokushima,徳島県,prefecture
JP-37,Kagawa,香川県,prefecture
JP-38,Ehime,愛媛県,prefecture
JP-39,Kochi,高知県,prefecture
JP-40,Fukuoka,福岡県,prefecture
JP-41,Saga,佐賀県,prefecture
JP-42,Nagasaki,長崎県,prefecture
JP-43,Kumamoto,熊本県,prefecture
JP-44,Oita,大分県,prefecture
JP-45,Miyazaki,宮崎県,prefecture
JP-46,Kagoshima,鹿児島県,prefecture
JP-47,Okinawa,沖縄県,prefecture
